IBM;2014.01.02;      187.21;      187.40;      185.20;      185.53;     4546500;      185.53
IBM;2013.12.31;      186.49;      187.79;      186.30;      187.57;     3619700;      187.57
IBM;2013.12.30;      185.32;      186.70;      184.67;      186.41;     3018600;      186.41
IBM;2013.12.27;      185.84;      186.50;      184.56;      185.08;     3381600;      185.08
IBM;2013.12.26;      183.56;      185.56;      183.51;      185.35;     3325700;      185.35
IBM;2013.12.24;      181.96;      183.50;      181.91;      183.22;     1613600;      183.22
IBM;2013.12.23;      181.05;      182.93;      180.61;      182.23;     4079900;      182.23
IBM;2013.12.20;      180.12;      182.00;      180.02;      180.02;     7653500;      180.02
IBM;2013.12.19;      177.88;      180.54;      177.88;      180.22;     5927000;      180.22
IBM;2013.12.18;      176.45;      178.74;      174.85;      178.70;     5697700;      178.70
